,label,cell_area_pixel,nuclear_area_pixel,filename,cell_type,treatment,timepoint,YAP_cell,YAP_nucleus,YAP_nucleus/cell,GFP_cell,GFP_nucleus,GFP_nucleus/cell,nuc/cell_area
0,5,829541.0,29897.0,1hrBleb_Composite_8.tif,OTHER,blebbistatin,1hr,21137326.0,4127132.0,0.1952532690275014,33112727.0,1900717.0,0.05740140339392766,0.0360404127101614
1,7,169019.0,23713.0,1hrBleb_Composite_8.tif,OTHER,blebbistatin,1hr,9732070.0,2701086.0,0.2775448594183971,8798064.0,1487540.0,0.16907583304690668,0.1402978363379265
2,8,148067.0,25217.0,1hrBleb_Composite_8.tif,OTHER,blebbistatin,1hr,10994157.0,3028436.0,0.2754586822800511,8079569.0,1705149.0,0.21104454952980783,0.17030803622684326
3,13,203154.0,31354.0,1hrBleb_Composite_8.tif,OTHER,blebbistatin,1hr,13702295.0,3516555.0,0.256639854856431,11042462.0,2118291.0,0.19183140498921344,0.15433611939710762
0,4,336870.0,28383.0,1hrBleb_Composite_9.tif,OTHER,blebbistatin,1hr,11574056.0,2523466.0,0.21802780287221696,13674684.0,1677821.0,0.12269541292508113,0.0842550538783507
1,5,536926.0,35765.0,1hrBleb_Composite_9.tif,OTHER,blebbistatin,1hr,19357429.0,4378826.0,0.22620906939656088,23815209.0,2383981.0,0.10010329953434378,0.06661066888174534
2,7,321229.0,36449.0,1hrBleb_Composite_9.tif,OTHER,blebbistatin,1hr,14620280.0,3384585.0,0.23149932833023718,15266463.0,2416851.0,0.15831112943449965,0.11346733949923575
0,12,137937.0,31838.0,L_NLS_1hrBleb_Composite_1.tif,L_LNS,blebbistatin,1hr,9419207.0,3309050.0,0.35130876728794685,2946829.0,888406.0,0.3014786402604291,0.23081551722887986
1,16,86647.0,31220.0,L_NLS_1hrBleb_Composite_1.tif,L_LNS,blebbistatin,1hr,5964934.0,2458211.0,0.41211034355116083,275812.0,104536.0,0.3790117906400012,0.36031253245928885
2,17,122017.0,33342.0,L_NLS_1hrBleb_Composite_1.tif,L_LNS,blebbistatin,1hr,6885957.0,2192172.0,0.31835400656727886,1173373.0,152877.0,0.1302884930878757,0.27325700517141055
3,19,217371.0,31495.0,L_NLS_1hrBleb_Composite_1.tif,L_LNS,blebbistatin,1hr,10088217.0,3747312.0,0.3714543412379016,1087428.0,126469.0,0.11630103326381148,0.14489053277576125
