gene_ID,n_cells,cluster_id,nearest_neighbor_hamming
100001000101000000,5,5,0.05555555555555555
100010100010000000,5,1,0.05555555555555555
000000100101000000,5,20,0.05555555555555555
000001000010000000,5,1,0.05555555555555555
100110100000100000,5,17,0.05555555555555555
100000000100100000,5,6,0.05555555555555555
000011100000000000,5,15,0.05555555555555555
100000100010100000,5,1,0.05555555555555555
100101000001000000,5,14,0.05555555555555555
010010100000000000,5,9,0.05555555555555555
100000010101000000,5,5,0.05555555555555555
110000100001000000,5,10,0.05555555555555555
000000000000010010,5,18,0.05555555555555555
000110100000100000,5,17,0.05555555555555555
000100100000000001,5,16,0.05555555555555555
100111000000100000,5,17,0.05555555555555555
110001110000000000,5,9,0.05555555555555555
100000000000100001,5,16,0.05555555555555555
001000100010000100,5,2,0.05555555555555555
100000000000100010,5,18,0.05555555555555555
100101000000001000,5,13,0.05555555555555555
100111000000001000,5,13,0.05555555555555555
100100100000000001,5,16,0.05555555555555555
100010100000001000,5,13,0.05555555555555555
110100100100000000,5,6,0.05555555555555555
100101000000100000,5,17,0.05555555555555555
000000110001000000,5,20,0.05555555555555555
100010001000000000,5,12,0.05555555555555555
100000011000000000,5,12,0.05555555555555555
100001110100000000,5,5,0.05555555555555555
100011000100000000,5,6,0.05555555555555555
100110100100000000,5,6,0.05555555555555555
110000000001000000,5,10,0.05555555555555555
000101100000100000,4,17,0.05555555555555555
000000000100010000,4,6,0.05555555555555555
110000010100000000,4,6,0.05555555555555555
100010100000000010,4,18,0.05555555555555555
101000000000010100,4,3,0.05555555555555555
100010000100100000,4,6,0.05555555555555555
110010100000100000,4,17,0.05555555555555555
100011000000100000,4,17,0.05555555555555555
110100101000000000,4,12,0.05555555555555555
000101000010000000,4,1,0.05555555555555555
000110000010000000,4,1,0.05555555555555555
101000000000010000,4,3,0.05555555555555555
100001010000100000,4,19,0.05555555555555555
100101000000000100,4,4,0.05555555555555555
100110100010000000,4,1,0.05555555555555555
000110110000000000,4,20,0.05555555555555555
000000010000000100,4,2,0.05555555555555555
100100000101000000,4,10,0.05555555555555555
