,gene1,gene2,both,odds_ratio,pvalue,n1,n2,expected,FDR,log2_OR,testable,exclusivity_reliable
40,COL1A1,JAG1,618,11.176454828407858,8.579948645178943e-308,2230,1478,117.03085608777474,1.875331632446255e-306,3.482390732749579,True,True
41,COL1A1,FLT1,25,0.19601779088576116,1.2666311515109372e-26,2230,1469,116.31821893974363,2.9814548643257444e-26,-2.3509434933129776,True,True
42,COL1A1,PDGFB,42,0.39053581319973824,6.496037966183395e-12,2230,1270,100.56101977772255,1.057333839176659e-11,-1.3564732413816654,True,True
43,COL1A1,COL1A2,1030,35.36869774561657,0.0,2230,1644,130.17505237368178,0.0,5.144401195732022,True,True
44,COL1A1,APLN,10,0.2581506294387797,7.007133821500889e-08,2230,476,37.69058694031175,9.746286133542145e-08,-1.9537149791158102,True,True
45,COL1A1,PDGFRB,635,25.01304021188128,0.0,2230,1041,82.42836345559778,0.0,4.64460851554256,True,True
47,COL1A1,ICAM1,17,0.3097314783919603,5.830680624345929e-09,2230,662,52.41842133295459,8.496134624046925e-09,-1.690910081548109,True,True
48,KDR,VWF,2236,2.796553005475895,5.71147852145547e-215,6946,5315,1310.8685154280438,6.721970875251438e-214,1.4836496752233692,True,True
49,KDR,PECAM1,2472,4.480500638578426,0.0,6946,4801,1184.0977878777119,0.0,2.163659943988398,True,True
50,KDR,VEGFA,1976,1.2832494364424174,2.0169720481614174e-15,6946,6995,1725.2164187053936,3.718032811671047e-15,0.3598016269681917,True,True
51,KDR,DLL4,1757,2.768702187108585,1.1231938750169683e-174,6946,4069,1003.5604871640095,1.0108744875152715e-173,1.4692098798917872,True,True
52,KDR,ITGA6,256,3.789683000918774,1.4576486295839781e-44,6946,468,115.42548734154742,4.4604048065269733e-44,1.9220771750113026,True,True
53,KDR,SEMA3F,487,1.5917109202297952,3.0397696404802027e-15,6946,1447,356.8817952632887,5.536723273731797e-15,0.6705783435320731,True,True
54,KDR,JAG1,270,0.6708230824986187,1.6859895577346517e-09,6946,1478,364.52750062138267,2.554023785479225e-09,-0.575995763120835,True,True
55,KDR,FLT1,663,2.6724516541739254,4.5008090593642236e-69,6946,1469,362.3077797109683,1.912843850229795e-68,1.4181638491938817,True,True
56,KDR,PDGFB,517,2.186004416334731,7.568452856943579e-38,6946,1270,313.22728402513934,2.067809441272085e-37,1.1282963156565604,True,True
57,KDR,COL1A2,82,0.1511851409425304,7.940188951958741e-107,6946,1644,405.46901963569223,5.522040498407671e-106,-2.7256117419814783,True,True
58,KDR,APLN,214,2.5434292079995755,3.193051261060097e-22,6946,476,117.39857259524909,6.979097756317069e-22,1.3467749398112128,True,True
59,KDR,PDGFRB,94,0.2950312416072173,2.616821938062109e-39,6946,1041,256.7477186379292,7.279522845881867e-39,-1.761060361682994,True,True
60,KDR,ANGPT2,534,2.906639181780882,2.9215033052936333e-64,6946,1125,277.4651138017967,1.1461282197690408e-63,1.5393519923673205,True,True
61,KDR,ICAM1,200,1.333697432702843,0.0010087356246774742,6946,662,163.2728047438128,0.001196407368803516,0.41543140876405493,True,True
62,VWF,PECAM1,1893,3.79305227756784,6.845945944015591e-302,5315,4801,906.0581259098817,1.3092871617929818e-300,1.9233592556469488,True,True
64,VWF,DLL4,1330,2.4505413388362163,1.2221492630427371e-116,5315,4069,767.913041934453,9.349441862276938e-116,1.2931004841608367,True,True
