state_code,binary_state,n_cells,pct_all_cells,pct_expressed_cells,cluster_id,nearest_neighbor_hamming
13_17,000000000000100010,6,0.02855239364233368,0.044451029782189955,13,0.05555555555555555
5_18,000010000000000001,6,0.02855239364233368,0.044451029782189955,15,0.05555555555555555
1_4_7_15,100100100000001000,6,0.02855239364233368,0.044451029782189955,20,0.05555555555555555
5_7_10,000010100100000000,6,0.02855239364233368,0.044451029782189955,10,0.05555555555555555
1_4_6_10,100101000100000000,6,0.02855239364233368,0.044451029782189955,21,0.05555555555555555
1_8_13,100000010000100000,6,0.02855239364233368,0.044451029782189955,19,0.05555555555555555
6_17,000001000000000010,6,0.02855239364233368,0.044451029782189955,13,0.05555555555555555
1_2_5_7_8,110010110000000000,6,0.02855239364233368,0.044451029782189955,6,0.05555555555555555
4_15,000100000000001000,6,0.02855239364233368,0.044451029782189955,20,0.05555555555555555
4_5_6_13,000111000000100000,6,0.02855239364233368,0.044451029782189955,17,0.05555555555555555
1_7_18,100000100000000001,6,0.02855239364233368,0.044451029782189955,15,0.05555555555555555
1_7_8_10,100000110100000000,6,0.02855239364233368,0.044451029782189955,9,0.05555555555555555
1_8_11,100000010010000000,6,0.02855239364233368,0.044451029782189955,14,0.05555555555555555
3_7_14_16,001000100000010100,6,0.02855239364233368,0.044451029782189955,1,0.05555555555555555
1_2_5_8,110010010000000000,6,0.02855239364233368,0.044451029782189955,5,0.05555555555555555
1_5_6_7_13,100011100000100000,6,0.02855239364233368,0.044451029782189955,17,0.05555555555555555
1_5_7_10_13,100010100100100000,6,0.02855239364233368,0.044451029782189955,10,0.05555555555555555
1_6_15,100001000000001000,6,0.02855239364233368,0.044451029782189955,20,0.05555555555555555
1_4_5_7_12,100110100001000000,6,0.02855239364233368,0.044451029782189955,7,0.05555555555555555
1_5_6_17,100011000000000010,6,0.02855239364233368,0.044451029782189955,13,0.05555555555555555
1_2_4_5_8,110110010000000000,6,0.02855239364233368,0.044451029782189955,5,0.05555555555555555
1_4_8_12,100100010001000000,6,0.02855239364233368,0.044451029782189955,8,0.05555555555555555
1_5_8_12,100010010001000000,6,0.02855239364233368,0.044451029782189955,7,0.05555555555555555
2_6,010001000000000000,6,0.02855239364233368,0.044451029782189955,5,0.05555555555555555
1_2_5_6,110011000000000000,6,0.02855239364233368,0.044451029782189955,5,0.05555555555555555
1_4_16,100100000000000100,6,0.02855239364233368,0.044451029782189955,18,0.05555555555555555
8_9,000000011000000000,6,0.02855239364233368,0.044451029782189955,12,0.05555555555555555
5_11,000010000010000000,6,0.02855239364233368,0.044451029782189955,14,0.05555555555555555
4_7_9,000100101000000000,5,0.023793661368611402,0.03704252481849163,12,0.05555555555555555
1_5_7_15,100010100000001000,5,0.023793661368611402,0.03704252481849163,20,0.05555555555555555
1_5_7_11,100010100010000000,5,0.023793661368611402,0.03704252481849163,14,0.05555555555555555
6_11,000001000010000000,5,0.023793661368611402,0.03704252481849163,14,0.05555555555555555
7_8_12,000000110001000000,5,0.023793661368611402,0.03704252481849163,8,0.05555555555555555
2_5_7,010010100000000000,5,0.023793661368611402,0.03704252481849163,6,0.05555555555555555
1_2_7_12,110000100001000000,5,0.023793661368611402,0.03704252481849163,8,0.05555555555555555
7_10_12,000000100101000000,5,0.023793661368611402,0.03704252481849163,10,0.05555555555555555
3_7_11_16,001000100010000100,5,0.023793661368611402,0.03704252481849163,1,0.05555555555555555
1_8_9,100000011000000000,5,0.023793661368611402,0.03704252481849163,12,0.05555555555555555
1_8_10_12,100000010101000000,5,0.023793661368611402,0.03704252481849163,9,0.05555555555555555
4_5_12,000110000001000000,5,0.023793661368611402,0.03704252481849163,7,0.05555555555555555
1_2_6_7_8,110001110000000000,5,0.023793661368611402,0.03704252481849163,5,0.05555555555555555
1_6_10_12,100001000101000000,5,0.023793661368611402,0.03704252481849163,21,0.05555555555555555
1_7_11_13,100000100010100000,5,0.023793661368611402,0.03704252481849163,14,0.05555555555555555
1_4_5_7_13,100110100000100000,5,0.023793661368611402,0.03704252481849163,17,0.05555555555555555
1_4_5_7_10,100110100100000000,5,0.023793661368611402,0.03704252481849163,10,0.05555555555555555
1_10_13,100000000100100000,5,0.023793661368611402,0.03704252481849163,10,0.05555555555555555
1_13_17,100000000000100010,5,0.023793661368611402,0.03704252481849163,13,0.05555555555555555
1_4_6_15,100101000000001000,5,0.023793661368611402,0.03704252481849163,20,0.05555555555555555
1_13_18,100000000000100001,5,0.023793661368611402,0.03704252481849163,15,0.05555555555555555
14_17,000000000000010010,5,0.023793661368611402,0.03704252481849163,13,0.05555555555555555
1_4_6_13,100101000000100000,5,0.023793661368611402,0.03704252481849163,17,0.05555555555555555
1_4_6_12,100101000001000000,5,0.023793661368611402,0.03704252481849163,21,0.05555555555555555
1_2_12,110000000001000000,5,0.023793661368611402,0.03704252481849163,4,0.05555555555555555
1_5_6_10,100011000100000000,5,0.023793661368611402,0.03704252481849163,21,0.05555555555555555
4_7_18,000100100000000001,5,0.023793661368611402,0.03704252481849163,15,0.05555555555555555
5_6_7,000011100000000000,5,0.023793661368611402,0.03704252481849163,16,0.05555555555555555
1_4_7_18,100100100000000001,5,0.023793661368611402,0.03704252481849163,15,0.05555555555555555
1_5_9,100010001000000000,5,0.023793661368611402,0.03704252481849163,12,0.05555555555555555
1_3_7_14,101000100000010000,5,0.023793661368611402,0.03704252481849163,2,0.05555555555555555
1_4_5_6_13,100111000000100000,5,0.023793661368611402,0.03704252481849163,17,0.05555555555555555
1_6_7_8_10,100001110100000000,5,0.023793661368611402,0.03704252481849163,9,0.05555555555555555
1_4_5_6_15,100111000000001000,5,0.023793661368611402,0.03704252481849163,20,0.05555555555555555
4_5_7_13,000110100000100000,5,0.023793661368611402,0.03704252481849163,17,0.05555555555555555
1_2_4_7_10,110100100100000000,5,0.023793661368611402,0.03704252481849163,6,0.05555555555555555
4_6_7_13,000101100000100000,4,0.01903492909488912,0.029634019854793303,17,0.05555555555555555
1_4_5_17,100110000000000010,4,0.01903492909488912,0.029634019854793303,13,0.05555555555555555
1_4_7_8_12,100100110001000000,4,0.01903492909488912,0.029634019854793303,8,0.05555555555555555
1_4_7_16,100100100000000100,4,0.01903492909488912,0.029634019854793303,18,0.05555555555555555
1_4_7_10_12,100100100101000000,4,0.01903492909488912,0.029634019854793303,8,0.05555555555555555
5_6_13,000011000000100000,4,0.01903492909488912,0.029634019854793303,17,0.05555555555555555
13_18,000000000000100001,4,0.01903492909488912,0.029634019854793303,15,0.05555555555555555
11_13,000000000010100000,4,0.01903492909488912,0.029634019854793303,14,0.05555555555555555
7_15,000000100000001000,4,0.01903492909488912,0.029634019854793303,20,0.05555555555555555
10_14,000000000100010000,4,0.01903492909488912,0.029634019854793303,2,0.05555555555555555
1_4_6_16,100101000000000100,4,0.01903492909488912,0.029634019854793303,21,0.05555555555555555
1_13_15,100000000000101000,4,0.01903492909488912,0.029634019854793303,17,0.05555555555555555
10_13,000000000100100000,4,0.01903492909488912,0.029634019854793303,10,0.05555555555555555
1_5_11,100010000010000000,4,0.01903492909488912,0.029634019854793303,14,0.05555555555555555
1_5_13_17,100010000000100010,4,0.01903492909488912,0.029634019854793303,13,0.05555555555555555
4_6_11,000101000010000000,4,0.01903492909488912,0.029634019854793303,14,0.05555555555555555
1_5_8_10_12,100010010101000000,4,0.01903492909488912,0.029634019854793303,9,0.05555555555555555
1_4_8_12_17,100100010001000010,4,0.01903492909488912,0.029634019854793303,13,0.05555555555555555
1_4_8_15,100100010000001000,4,0.01903492909488912,0.029634019854793303,20,0.05555555555555555
1_5_10_13,100010000100100000,4,0.01903492909488912,0.029634019854793303,10,0.05555555555555555
1_2_8_10,110000010100000000,4,0.01903492909488912,0.029634019854793303,9,0.05555555555555555
