,filename,image_shape,final_gel_intensity,final_vascular_intensity,initial_gel_intensity,initial_vascular_intensity,vascular_volume_um3,gel_volume_um3,vasculature_surface_area_um2,p_um/s,p_cm/s,bead,rln,mcl,ligand
69,m4_2025.02.27_fl32_fl33__FL32_4/P 1,"(3, 22, 512, 512)",7333119.0,32815040.0,5357684.0,31443037.0,22886594.10222521,125261934.89061315,1856843.79688075,0.0141908127632439,1.419081276324396e-06,False,False,False,unknown
72,m4_2025.02.27_fl32_fl33__Bead_5/P 4,"(3, 21, 512, 512)",6812490.0,23344235.0,3987561.0,23395518.0,16520307.17663751,125455366.44149928,1453577.521394389,0.0348960491523424,3.489604915234244e-06,True,False,False,unknown
73,m4_2025.02.27_fl32_fl33__Bead_5/P 1,"(3, 20, 512, 512)",5373876.0,29375049.0,4153549.0,33352025.0,28952366.88180178,106850451.36163342,2178726.805976008,0.0056936021851796,5.693602185179602e-07,True,False,False,unknown
74,m4_2025.02.27_fl32_fl33__Bead_5/P 2,"(3, 18, 512, 512)",6385433.0,33801448.0,4170022.0,37945369.0,26165358.37824698,97291749.11578502,1619867.5373190418,0.0109433048231073,1.0943304823107316e-06,True,False,False,unknown
75,m4_2025.02.27_fl32_fl33__Bead_5/P 3,"(3, 18, 512, 512)",4911897.0,19637824.0,4131706.0,20616715.0,17083706.444578454,106373401.04945354,1568960.7907658592,0.0089131291900605,8.913129190060522e-07,True,False,False,unknown
77,m4_2025.02.27_fl32_fl33__rLN1_5/P 1,"(3, 23, 512, 512)",9650207.0,54923338.0,6608300.0,53449198.0,38359917.246812895,119047894.80807789,2641904.8079935727,0.0081287314084648,8.128731408464864e-07,False,True,False,unknown
78,m4_2025.02.27_fl32_fl33__rLN1_5/P 2,"(3, 21, 512, 512)",9914894.0,68132259.0,8169540.0,68107400.0,37529794.60229555,104445879.01584125,2281990.897951911,0.00370217712715,3.702177127150087e-07,False,True,False,unknown
79,m4_2025.02.27_fl32_fl33__rLN1_5/P 3,"(3, 19, 512, 512)",6304759.0,39480259.0,5255887.0,46601443.0,29693891.777191494,99936071.0915421,2155098.0358448806,0.0032677317288288,3.26773172882882e-07,False,True,False,unknown
80,m4_2025.02.27_fl32_fl33__rLN1_5/P 4,"(3, 18, 512, 512)",4773144.0,11375067.0,3503175.0,11928817.0,10275737.663738376,113181369.83029364,1069860.8431839184,0.0442930177152228,4.429301771522287e-06,False,True,False,unknown
82,m4_2025.02.27_fl32_fl33__FL32_5/P 4,"(3, 2, 512, 512)",1211682.0,2532618.0,575292.0,2333443.0,86256837.64955495,145225238.90175503,10453473.053906072,0.0139683841230773,1.3968384123077346e-06,False,False,False,unknown
83,m4_2025.02.27_fl32_fl33__FL32_5/P 3,"(3, 22, 512, 512)",11407787.0,30404902.0,10503000.0,33884394.0,23596306.224439792,124552222.76839858,2132682.749140042,0.0062776728194605,6.277672819460519e-07,False,False,False,unknown
84,m4_2025.02.27_fl32_fl33__FL32_5/P 1,"(3, 23, 512, 512)",23911135.0,37534698.0,21033572.0,39896915.0,31953893.789224423,125453918.26566637,3888457.625780402,0.0136713227932126,1.3671322793212634e-06,False,False,False,unknown
85,m4_2025.02.27_fl32_fl33__FL32_5/P 2,"(3, 20, 512, 512)",10886922.0,32393283.0,10503557.0,35547150.0,24403269.829417728,111399548.41401748,2137095.464173504,0.0022165260026381,2.216526002638109e-07,False,False,False,unknown
87,m4_2025.02.27_fl32_fl33__FL33_5/P 1,"(3, 17, 512, 512)",14881168.0,45306169.0,9302583.0,35946631.0,24718359.9240561,89479464.5079235,1708182.281124258,0.0304656543413081,3.0465654341308136e-06,False,False,False,unknown
88,m4_2025.02.27_fl32_fl33__FL33_5/P 2,"(3, 14, 512, 512)",11167929.0,39014804.0,9910377.0,42902557.0,22889878.98887061,72789379.3190042,1547559.18181493,0.0049800440959702,4.980044095970215e-07,False,False,False,unknown
